City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
373,Padang,ID,77.83,-0.9492,100.3543,Mercure Padang
377,Tiznit,MA,73.45,29.5833,-9.5,
380,Cabra,ES,73.4,37.4725,-4.4421,MS Fuente Las Piedras
381,Morondava,MG,76.62,-20.2833,44.2833,La Case Bambou
382,Tabas,IR,69.26,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
387,Malpur,IN,78.08,23.35,73.45,મંગલ મૈત્રી ફાર્મ Mangal Maitri Farm
390,Dumfries,US,65.39,38.5676,-77.328,Hampton Inn Dumfries/Quantico
391,Waddan,LY,74.21,29.1614,16.139,محل الشريف محمد العايب
392,Amahai,ID,78.71,-3.3333,128.9167,HOTEL ISABELA
394,Pleasanton,US,77.72,37.6624,-121.8747,Four Points by Sheraton Pleasanton
406,Raikot,IN,72.81,30.65,75.6,Gurdeep Boutique
411,Dickinson,US,75.42,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
412,Harper,LR,78.48,4.375,-7.7169,Screensaver
415,Bac Lieu,VN,76.42,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
416,Vila Franca Do Campo,PT,72.01,37.7167,-25.4333,Pestana Bahia Praia
419,Port Hedland,AU,66.25,-20.3167,118.5667,The Esplanade Hotel
420,Maxixe,MZ,74.12,-23.8597,35.3472,Oceano
423,Si Sa Ket,TH,75.87,14.8333,104.3333,ร้านค้า อัญชัน
430,Gat,IL,72.81,31.61,34.7642,OlusHome
435,Mogadishu,SO,79.09,2.0371,45.3438,Hotel Juba
436,Saint George,US,79.27,37.1041,-113.5841,Best Western Plus Abbey Inn
442,Naze,JP,70.07,28.3667,129.4833,オーベルジュ・アガルイ
447,Itacare,BR,78.55,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
450,Dolores,AR,69.4,-36.3132,-57.6792,Apart Hotel - Arianos
453,Vallenar,CL,78.67,-28.5708,-70.7581,Humacao Bed & Breakfast
454,Saint Anthony,US,70.34,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
456,Bima,ID,77.88,-8.4667,118.7167,Lambitu Hotel
459,Sibolga,ID,74.35,1.7427,98.7792,Hotel Syariah CN Darussalam
464,Antofagasta,CL,66.22,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
465,Jalingo,NG,77.94,8.8833,11.3667,Debright Motel
467,Pacific Grove,US,74.57,36.6177,-121.9166,Lovers Point Inn
476,Kuito,AO,65.12,-12.3833,16.9333,Herdeiros de Antunes Capusso
480,Magway,MM,74.8,20.15,94.9167,Htein Htein Thar 2
482,Shelby,US,72.05,35.2001,-89.8668,Days Inn by Wyndham Memphis - I40 and Sycamore View
483,Sakakah,SA,76.82,29.9697,40.2064,Fakhamat Al Orjoana Apartment
488,Camacha,PT,69.22,33.0833,-16.3333,Hotel Porto Santo & Spa
490,Jacareacanga,BR,76.78,-6.2222,-57.7528,Casa do Ian😎
492,Itupeva,BR,71.33,-23.1531,-47.0578,Itupeva Plaza Hotel
493,Guskhara,IN,77.25,23.5,87.75,Ananda Kuthi
494,Noumea,NC,78.01,-22.2763,166.4572,Hôtel Le Lagon
497,Biak,ID,76.78,-0.9131,122.8766,Penginapan Kim
499,Dunkwa,GH,74.79,5.9656,-1.78,Tim Freeman Gold City Hotel
500,Peniche,PT,70.61,39.3558,-9.3811,Hotel Star inn Peniche
505,Rio Tercero,AR,68.49,-32.173,-64.1141,"Hotel Vélez Sarsfield ""Low Cost"""
508,Muisne,EC,76.91,0.6,-80.0333,Quinta Samay
510,Nhulunbuy,AU,75.81,-12.2333,136.7667,East Arnhem Real Estate
512,Meadow Lake,US,75.97,34.8014,-106.5436,TumbleWeed RV Park
515,Luanda,AO,75.16,-8.8368,13.2343,Hotel Fórum
517,Puro,PH,79.27,12.4841,123.3827,
519,Boma,GH,74.34,7.0805,-2.1697,Obaatanpa Hotel
522,Russell,US,72.68,32.3502,-85.1999,Macs
523,Laguna,US,79.23,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
525,Matay,EG,78.75,28.419,30.7792,Nag Aespen
529,Atambua,ID,75.13,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
536,New Lenox,US,68.52,41.512,-87.9656,The Healthy Hype
537,Lodja,CD,71.51,-3.4833,23.4333,
541,Cap Malheureux,MU,73.47,-19.9842,57.6142,Pereybere Hotel & Spa
543,Hualmay,PE,66.56,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
555,Kisangani,CD,71.19,0.5167,25.2,Grand Ramela Hotel
561,Najran,SA,70.97,17.4924,44.1277,محمد هادي ال فطيح
568,Kotaparh,IN,72.41,19.15,82.35,Atul Pattnaik
570,Adilabad,IN,74.55,19.6667,78.5333,Dwaraka Hotel.
572,Matara,LK,79.12,5.9485,80.5353,Amaloh Boutique Resort
575,Quatre Cocos,MU,73.09,-20.2078,57.7625,Sunrise Attitude Hotel
576,Qeshm,IR,76.87,26.9581,56.2719,Qeshm Kavan Hotel
577,Mpika,ZM,71.4,-11.8343,31.4529,Melodies Lodge
579,Teknaf,BD,76.77,20.8624,92.3058,Forestry Guesthouse
581,Tezu,IN,73.65,27.9167,96.1667,Circuit House
585,Bumba,CD,73.54,2.1833,22.4667,Père Carlos
586,Ouesso,CG,76.08,1.6136,16.0517,ABENIE Hotel
590,Matamoros,MX,77.11,25.5333,-103.25,Quinta Belem
591,Nakhon Phanom,TH,66.29,17.3333,104.4167,ป่ายางรีสอร์ท
592,Kabwe,ZM,77.59,-14.4469,28.4464,Tuskers
601,Kaniama,CD,68.02,-7.5667,24.1833,
607,Patan,NP,68.38,27.6667,85.3333,Hotel Goodwill
